date,region_group,일별_합계,산불발생여부
2017-12-01,강원,0,0
2017-12-02,강원,1,1
2017-12-03,강원,0,0
2017-12-04,강원,1,1
2017-12-05,강원,0,0
2017-12-06,강원,0,0
2017-12-07,강원,0,0
2017-12-08,강원,0,0
2017-12-09,강원,0,0
2017-12-10,강원,0,0
2017-12-11,강원,0,0
2017-12-12,강원,0,0
2017-12-13,강원,0,0
2017-12-14,강원,0,0
2017-12-15,강원,0,0
2017-12-16,강원,0,0
2017-12-17,강원,0,0
2017-12-18,강원,0,0
2017-12-19,강원,0,0
2017-12-20,강원,0,0
2017-12-21,강원,0,0
2017-12-22,강원,1,1
2017-12-23,강원,0,0
2017-12-24,강원,0,0
2017-12-25,강원,0,0
2017-12-26,강원,0,0
2017-12-27,강원,0,0
2017-12-28,강원,0,0
2017-12-29,강원,0,0
2017-12-30,강원,0,0
2017-12-31,강원,0,0
2018-01-01,강원,0,0
2018-01-02,강원,1,1
2018-01-03,강원,0,0
2018-01-04,강원,0,0
2018-01-05,강원,0,0
2018-01-06,강원,0,0
2018-01-07,강원,0,0
2018-01-08,강원,0,0
2018-01-09,강원,0,0
2018-01-10,강원,1,1
2018-01-11,강원,0,0
2018-01-12,강원,0,0
2018-01-13,강원,0,0
2018-01-14,강원,1,1
2018-01-15,강원,0,0
2018-01-16,강원,0,0
2018-01-17,강원,0,0
2018-01-18,강원,0,0
2018-01-19,강원,0,0
2018-01-20,강원,0,0
2018-01-21,강원,0,0
2018-01-22,강원,0,0
2018-01-23,강원,0,0
2018-01-24,강원,0,0
2018-01-25,강원,0,0
2018-01-26,강원,0,0
2018-01-27,강원,0,0
2018-01-28,강원,0,0
2018-01-29,강원,0,0
2018-01-30,강원,0,0
2018-01-31,강원,0,0
2018-02-01,강원,1,1
2018-02-02,강원,0,0
2018-02-03,강원,0,0
2018-02-04,강원,0,0
2018-02-05,강원,0,0
2018-02-06,강원,0,0
2018-02-07,강원,0,0
2018-02-08,강원,1,1
2018-02-09,강원,1,1
2018-02-10,강원,0,0
2018-02-11,강원,3,1
2018-02-12,강원,1,1
2018-02-13,강원,0,0
2018-02-14,강원,0,0
2018-02-15,강원,0,0
2018-02-16,강원,1,1
2018-02-17,강원,0,0
2018-02-18,강원,0,0
2018-02-19,강원,1,1
2018-02-20,강원,1,1
2018-02-21,강원,0,0
2018-02-22,강원,0,0
2018-02-23,강원,0,0
2018-02-24,강원,0,0
2018-02-25,강원,0,0
2018-02-26,강원,0,0
2018-02-27,강원,0,0
2018-02-28,강원,0,0
2018-03-01,강원,0,0
2018-03-02,강원,0,0
2018-03-03,강원,0,0
2018-03-04,강원,0,0
2018-03-05,강원,0,0
2018-03-06,강원,0,0
2018-03-07,강원,0,0
2018-03-08,강원,0,0
2018-03-09,강원,0,0
2018-03-10,강원,0,0
2018-03-11,강원,0,0
2018-03-12,강원,0,0
2018-03-13,강원,0,0
2018-03-14,강원,1,1
2018-03-15,강원,0,0
2018-03-16,강원,0,0
2018-03-17,강원,0,0
2018-03-18,강원,0,0
2018-03-19,강원,0,0
2018-03-20,강원,0,0
2018-03-21,강원,0,0
2018-03-22,강원,1,1
2018-03-23,강원,0,0
2018-03-24,강원,0,0
2018-03-25,강원,2,1
2018-03-26,강원,0,0
2018-03-27,강원,0,0
2018-03-28,강원,1,1
2018-03-29,강원,0,0
